0,1,2
3,-1,0
-151,-142,-15
13,19,3
13,17,5
-18,-28,-1
1,7,-7
87,64,11
-7,-6,1
-43,-38,-9
-85,-67,-13
46,49,11
-20,-7,-5
30,26,7
-197,-177,-15
52,74,9
33,44,9
-49,-13,-7
-31,-17,-3
-12,-4,-7
91,73,13
1,-4,-3
-143,-147,-15
-71,-63,-9
14,21,5
-5,-3,-3
-23,-24,-5
145,118,13
9,-3,1
-34,-43,-11
-230,-209,-15
-12,-12,1
114,112,13
42,50,11
-36,-38,-8
-2,13,1
-27,-24,-8
-30,-31,-8
11,14,3
10,7,1
25,25,7
37,36,8
38,36,8
23,23,8
-30,-19,-8
-12,-21,-3
-24,-28,-5
-34,-34,-5
9,17,3
32,29,8
18,20,4
1,4,1
17,20,4
-10,-5,-1
-8,-5,-1
-21,-26,-11
-33,-35,-7
19,26,4
-2,-5,-1
-12,-9,-2
-6,-6,-2
-28,-38,-6
-9,-3,-1
-7,-5,-2
10,2,1
81,80,0
5,17,-1
-120,-105,-13
-8,5,-3
252,239,15
126,122,13
-25,-27,-7
-30,-21,-9
15,10,-3
32,28,5
-4,8,1
-170,-160,-15
199,179,15
-6,-25,-7
85,97,11
-5,-1,1
37,42,9
3,6,5
-36,-37,-9
-64,-54,-11
34,37,7
-38,-52,-9
272,260,15
-3,-9,-3
-145,-118,-13
47,60,11
109,134,13
-41,-40,-7
-57,-55,-11
10,12,-1
1,-5,-5
-29,-42,-5
7,14,-3
32,35,7
34,29,5
35,26,7
20,27,8
33,28,7
-8,8,-1
3,-8,-3
29,29,8
30,14,3
5,4,1
43,42,8
-21,-19,-5
3,4,3
36,41,8
-12,-8,-3
21,36,5
-10,-24,-3
15,15,4
4,1,1
14,14,3
-14,-12,-4
-17,-23,-7
19,24,5
-11,-28,-4
-27,-30,-6
-5,-3,-1
-26,-39,-6
-12,-6,-1
7,7,1
2,6,1
-1,3,1
-55,-37,0
27,54,11
46,77,9
6,9,3
-77,-63,-11
181,176,15
114,122,13
-8,11,-1
-99,-110,-11
-2,-5,-1
10,4,5
-22,-23,-5
28,12,5
127,128,13
-170,-157,-15
2,6,3
-22,-25,-7
-90,-98,-11
128,104,13
169,157,15
55,45,9
-11,-20,-7
-21,-19,-1
58,59,9
33,23,7
-13,-2,1
3,-17,-3
-190,-204,-15
-113,-125,-13
-26,-14,-3
13,39,9
31,27,7
31,27,5
40,41,8
-42,-26,-8
13,12,5
-17,-14,-3
-13,-10,-3
18,20,7
-35,-28,-5
20,36,8
-26,-32,-8
-13,-18,-1
21,34,8
17,35,8
-55,-49,-8
18,13,5
-2,3,-1
77,85,8
5,-1,1
-37,-44,-11
3,8,3
-9,-8,-1
17,14,4
8,13,4
-15,-14,-4
11,33,4
9,6,2
-30,-23,-3
3,8,3
-18,-15,-5
-8,-10,-3
9,16,4
-1,-1,0
93,87,0
26,22,3
64,61,9
-159,-170,-15
47,46,11
13,27,1
-48,-58,-11
50,39,9
33,13,5
-34,-41,-9
51,47,7
-63,-67,-13
-7,-13,-7
-133,-147,-13
33,34,7
-26,-37,-5
26,27,3
-13,-6,1
-23,-30,-9
-19,-15,-1
-118,-131,-15
1,-22,-5
9,-2,3
5,-2,1
106,124,15
-15,-11,3
-61,-55,-11
-72,-61,-11
103,110,13
39,45,7
-90,-85,-13
161,168,15
-20,-1,-5
53,49,8
-15,-16,-7
50,48,8
-13,-32,-3
-27,-19,-8
-47,-47,-8
14,10,1
12,8,5
22,36,8
-35,-32,-7
17,34,8
13,22,5
-36,-39,-8
-32,-28,-8
44,35,7
-61,-44,-8
11,14,3
-28,-42,-12
-20,-21,-4
3,-1,1
21,16,4
-12,-14,-4
-2,23,4
-15,-16,-3
8,7,2
-9,-3,-1
4,11,2
23,42,10
-18,-32,-8
2,-8,-2
7,-6,-1
52,38,0
22,16,3
20,32,7
-99,-110,-13
-24,-19,-3
-31,-31,-5
-13,-20,-9
12,-8,-1
-163,-145,-15
159,153,15
-68,-69,-11
-82,-77,-11
145,141,13
-21,-24,-5
14,19,5
-60,-79,-11
3,-8,-1
-193,-172,-15
148,137,15
1,4,1
-132,-124,-13
-2,9,3
-82,-99,-11
22,29,1
63,69,9
62,58,7
-52,-33,-9
7,31,3
-1,-15,-7
49,61,9
7,-10,7
20,40,5
65,78,13
24,4,1
37,26,5
-26,-26,-8
27,32,8
-23,-32,-8
-22,-11,-3
23,35,5
35,31,3
34,37,8
-12,-14,-7
13,8,5
24,56,8
-23,-33,-1
-30,-26,1
-16,-7,-5
19,3,1
6,3,3
1,4,1
22,19,4
-6,-5,-1
-33,-16,-4
49,37,4
40,27,4
-9,1,-4
6,8,1
1,-3,1
11,6,2
5,7,1
2,-4,1
4,9,1
1,5,0
84,75,0
-87,-84,-13
-108,-103,-15
24,21,5
-49,-34,-5
21,33,7
48,50,7
39,48,9
9,15,5
62,61,11
-6,1,-1
-275,-237,-15
-16,-1,1
-91,-97,-9
14,22,3
-66,-74,-11
101,88,11
-18,-18,-1
42,30,3
7,-6,-3
99,101,13
81,64,11
-159,-149,-15
9,-1,-3
-19,-21,-1
-169,-173,-15
-1,-21,-5
100,84,9
-52,-69,-9
-120,-124,-13
-119,-115,-13
37,28,7
-28,-30,-7
-40,-20,-7
-6,-1,-1
-4,-9,-3
32,26,8
9,-1,1
16,20,5
-42,-42,-8
-21,-15,-3
11,29,8
-24,-20,-3
-25,-36,-7
39,33,8
-7,-6,-5
-30,-26,-5
30,37,1
82,63,1
-6,-9,-1
14,21,3
-36,-38,-11
-10,-14,-4
-12,-30,-7
50,42,11
-19,-16,-4
5,5,1
-11,-12,-2
9,9,2
-16,-32,-9
-5,-7,-1
2,4,0
-2,1,0
1,-3,0
11,-18,0
171,177,15
110,98,13
82,90,9
-10,-9,1
12,10,3
141,145,13
-26,-22,-3
106,135,15
-111,-128,-13
54,40,7
-7,7,-3
17,6,1
-37,-51,-5
81,81,11
-57,-50,-7
-43,-43,-9
21,31,7
-10,-26,-5
46,53,9
-38,-8,-5
-54,-75,-11
158,181,15
-16,-1,-5
116,111,13
106,114,11
-5,-7,-1
-98,-127,-15
6,8,1
68,82,11
14,4,-3
-13,-28,-7
109,94,9
40,31,8
-25,-35,-5
68,47,8
-39,-40,-8
35,28,7
-38,-37,-8
-2,2,1
4,9,3
5,13,1
41,23,8
-28,-28,-8
31,33,8
-13,-17,-3
24,31,7
-9,-12,-3
16,24,8
14,12,4
-7,-4,-1
16,18,3
8,6,1
-44,-48,-11
5,4,1
9,18,3
-6,-4,-1
9,6,2
-10,-8,-2
1,2,1
-7,-6,-1
5,3,1
-12,-7,-2
6,5,1
28,37,0
65,76,11
22,20,7
-43,-37,-3
170,165,15
127,104,13
-148,-159,-15
-19,-40,-9
81,91,11
24,18,-1
82,94,11
3,-6,-5
3,2,3
10,16,5
-156,-138,-13
26,22,1
18,-6,5
16,8,1
-39,-42,-7
-208,-210,-15
-4,12,3
6,-10,-1
-92,-96,-9
52,49,7
-3,-3,-3
99,79,13
53,58,11
27,35,9
-109,-125,-15
10,21,7
105,113,13
47,45,9
35,41,5
20,27,8
-31,-48,-8
-5,-11,-5
-47,-44,-8
-20,-14,-8
-23,-17,-8
-69,-90,-8
24,22,8
30,27,8
21,24,7
14,3,1
30,29,8
-9,-11,-1
37,25,7
29,38,8
-2,7,3
-11,-8,-4
-9,-15,-4
-44,-47,-11
-38,-26,-9
16,14,7
9,4,3
-7,-11,4
12,-2,4
-8,-5,-3
-2,-2,-1
11,8,2
-6,-10,1
-13,-15,0
3,-1,1
13,6,4
-13,14,0
83,25,0
67,62,0
-4,-16,0
14,23,-1
-84,-101,-11
-24,-14,-5
55,75,11
136,157,13
-12,-29,-5
-14,-11,7
38,34,9
73,88,9
-123,-155,-15
-5,2,7
-102,-127,-13
-12,-12,-3
2,-11,-3
19,28,7
7,26,9
44,15,7
147,125,15
-3,-16,-3
10,6,1
10,20,1
-133,-136,-15
-7,-36,-5
8,6,1
51,56,13
-105,-98,-13
203,202,15
-90,-105,-11
-90,-90,-11
-32,-65,-9
-36,-43,-5
-29,-9,-3
34,36,7
33,48,8
-4,-10,-3
33,26,5
-8,-9,-1
-60,-73,-1
-25,-24,-5
-19,-14,-1
12,7,1
42,36,7
-33,-38,-8
33,43,8
21,49,8
-20,-25,-5
20,24,7
47,46,8
-20,-15,-4
-23,-24,-4
8,8,1
9,4,-1
-25,-29,-11
-9,-12,-3
-24,-50,-9
16,14,1
-22,-31,-6
-10,-8,-2
-1,-6,-2
53,58,10
17,18,3
3,-3,-1
-25,-30,-5
-1,-15,0
36,-17,0
18,18,0
35,20,0
-55,-54,-11
-47,-37,-5
-9,-23,-3
53,53,9
-8,-9,-1
43,-6,1
-185,-178,-15
-39,-56,-9
35,35,11
-31,-35,-5
24,43,7
125,81,13
102,114,15
-33,-24,-7
32,12,7
89,60,9
2,16,5
-4,-21,-1
10,12,3
-40,-60,-11
-18,-47,-11
110,112,13
78,93,13
141,98,15
4,-17,-5
-180,-110,-13
-133,-146,-15
38,37,9
-7,10,3
22,37,7
-12,-8,-1
14,13,3
-68,-55,-8
-35,-18,-8
-26,-29,-7
3,11,1
-28,-4,-3
26,16,5
17,35,7
-3,-2,-1
11,17,3
-171,-91,-8
25,33,8
20,23,8
-23,-24,-8
-17,-10,-7
11,-6,1
34,47,5
-2,-16,-4
14,7,3
28,24,4
-7,-18,-3
40,41,7
-35,-36,-9
7,15,3
-58,-50,-12
1,-14,-3
-3,7,1
2,3,1
12,7,2
-4,2,0
-16,-10,-3
5,4,1
41,71,0
12,5,0
1,6,0
3,3,0
-24,-32,-5
19,32,5
-27,-26,-7
-5,22,1
175,179,15
91,100,11
-222,-219,-15
47,57,11
6,18,5
102,74,9
-54,-46,-11
19,6,7
59,52,9
126,75,9
36,23,7
17,6,1
-21,-18,-3
139,118,13
-113,-106,-13
-124,-89,-11
-2,4,3
181,172,15
-9,-23,-3
163,142,15
28,31,9
-105,-97,-13
-11,16,5
-20,-8,-7
-30,-29,-1
-83,-111,-13
-14,-13,-3
31,8,1
-92,-90,-8
-28,-19,-7
21,2,3
11,15,1
-16,-3,-3
21,16,8
-45,-31,-8
-26,-29,-8
11,21,5
89,82,8
20,20,8
-56,-33,-8
-16,-21,-7
-20,-11,-1
-34,-32,-5
30,41,8
-12,-12,-1
-9,-3,-4
-10,-9,-3
-22,-14,-4
-6,-8,-1
121,100,12
-38,-27,-11
2,8,3
9,2,-1
-24,-26,-7
3,-1,1
5,-3,1
-30,-31,-8
-4,-4,0
-7,-9,-3
23,9,0
28,14,0
-64,-9,0
-1,4,0
-22,-8,-3
35,19,5
-193,-210,-15
11,28,7
73,49,9
-175,-168,-13
88,68,9
37,37,7
-27,-18,-3
-30,-1,1
52,77,9
-31,-35,-7
93,64,11
-2,9,3
149,126,13
118,143,13
166,161,15
-23,-23,-5
-107,-96,-11
5,-17,-1
-82,-92,-11
125,109,13
33,20,1
-3,2,-1
89,79,11
-18,-7,-5
51,25,7
-1,-21,-3
-15,23,5
71,67,9
-203,-179,-15
176,227,15
24,22,5
-36,-32,-8
14,30,8
-33,-7,-1
23,17,5
-29,-35,-8
41,44,8
14,20,5
-19,-18,-7
-24,-18,-3
-13,-23,-3
-5,-19,-7
-28,-33,-8
-72,-45,-3
60,34,8
-36,-26,-7
21,9,3
22,2,1
-9,-14,-3
21,21,4
15,20,4
-14,-6,-4
-12,-35,-9
-3,-3,-3
51,39,10
8,5,1
19,14,3
-3,-9,-6
-26,-25,-6
7,15,6
13,4,-1
94,99,0
14,17,0
13,20,0
-39,-3,0
-201,-147,-13
-68,-44,-7
-2,-11,-5
9,-3,-1
-112,-73,-9
66,79,11
-248,-256,-15
4,-1,1
-72,-49,-9
108,88,11
-13,13,3
-136,-129,-11
10,35,5
-43,-19,-7
-162,-128,-15
21,21,5
17,4,5
-171,-159,-15
-157,-106,-13
-4,5,-3
-106,-119,-13
-88,-92,-9
45,36,9
19,9,3
-78,-54,-7
119,82,11
4,-20,-1
-1,1,-1
130,116,13
38,35,7
25,36,3
131,141,15
-15,-28,-8
49,42,7
-29,-38,-7
14,4,1
-9,-18,-3
-106,-88,-3
-8,1,1
56,58,8
-34,-25,-7
18,28,5
-13,2,-1
10,22,5
-30,-9,-8
-8,9,1
-13,-10,-5
-35,-22,-7
22,27,4
18,19,4
10,8,4
6,11,3
-5,-18,-4
-35,-43,-9
18,25,4
-3,-7,-4
10,8,2
1,-3,-1
-2,-3,-1
-1,-11,-3
-11,-21,-6
2,2,0
-2,-2,0
72,42,0
-2,12,0
57,54,0
-13,-16,0
-57,-27,-7
7,-2,-1
-21,10,1
-63,-28,-9
-2,-24,-5
-81,-28,-7
84,76,9
210,209,15
85,72,9
-120,-97,-11
-181,-178,-15
-3,14,-1
-82,-57,-11
233,161,15
10,29,5
-30,-49,-7
50,30,9
-60,-27,-3
-63,-31,-7
130,87,13
57,60,5
20,17,5
-103,-114,-13
274,257,15
49,72,11
1,-33,-1
-2,43,3
107,106,11
23,2,-3
112,140,13
-1,3,-3
-124,-109,-13
39,55,8
4,29,8
-7,-12,-1
-47,-21,-8
-28,-39,-8
-16,-36,-8
-43,-24,-8
28,29,8
52,28,8
24,51,8
-26,-29,-8
24,14,7
92,34,5
71,74,8
16,29,5
22,39,5
19,22,4
9,6,1
1,17,3
6,7,1
12,20,4
-3,-12,-1
12,22,-1
-15,-19,-3
6,-4,-1
-4,-1,-1
-28,-28,-5
36,55,9
37,57,9
2,5,0
2,-2,1
-6,-7,0
18,36,0
-55,9,0
-1,-14,0
135,144,13
-76,-55,-9
63,43,9
-84,-73,-11
189,180,15
28,5,7
22,19,7
-5,7,1
-44,-45,-7
-55,-33,-9
-18,-12,-3
206,189,15
50,13,7
-68,-58,-9
17,5,1
9,14,5
13,15,1
73,45,11
-16,-36,-5
124,147,13
210,167,15
-135,-102,-13
-178,-171,-13
3,15,3
-13,-14,-1
-193,-146,-15
105,103,11
14,21,5
-4,10,3
119,115,11
-36,-22,-5
20,6,-3
-8,-14,-5
28,25,8
3,11,1
37,34,7
8,10,1
-15,1,-1
-20,-27,-7
28,24,8
-40,-24,-8
39,46,8
-12,-22,-8
-18,-19,-5
-28,-20,-7
26,36,8
24,29,5
-7,-7,-3
-6,-15,-3
-6,-15,-3
10,22,4
-29,-34,-9
14,16,4
-10,-6,-1
18,9,3
21,26,4
-44,-33,-10
-9,-5,-2
1,3,-1
26,25,3
31,32,6
10,1,2
-2,-1,0
